location,state,latitude,longitude,date,rainfall_mm,prev_24h_rainfall_mm,prev_48h_rainfall_mm,river_level_m,soil_moisture_percent,terrain_elevation_m,distance_to_river_km,drainage_capacity_percent,historical_flood_count,population_density,urban_area_percent,water_depth_m,population_affected,economic_loss_million,severity_level,risk_score
Dhanbad,Jharkhand,23.782718,86.397891,2025-04-03,53.78,31.14,39.71,2.53,55.0,147.96,0.71,81.42,0,167,62.19,0.98,26,0.09,Low,28.97
Mumbai,Maharashtra,19.140468,72.809651,2024-08-03,96.79,37.18,43.19,8.36,49.86,16.29,0.45,92.13,1,3163,99.75,2.2,1345,6.94,Medium,51.92
Kochi,Kerala,9.915599,76.354131,2025-05-15,45.96,21.74,30.13,3.79,35.24,100.93,1.07,69.86,1,2627,95.85,0.7,732,2.23,Low,11.4
Nashik,Maharashtra,19.932457,73.780895,2024-10-07,99.74,60.05,82.52,4.43,43.38,99.05,1.25,44.56,3,25032,69.78,0.55,7785,16.63,Low,30.89
Surat,Gujarat,21.260791,72.906425,2023-08-26,60.07,44.61,63.09,6.71,20.43,113.69,0.67,40.63,3,16821,90.91,0.25,3786,1.09,Low,28.74
Visakhapatnam,Andhra Pradesh,17.745744,83.150063,2024-09-03,63.8,40.41,50.67,1.61,38.13,55.65,7.9,45.6,3,80,46.89,0.68,3,0.01,Low,20.78
Madurai,Tamil Nadu,9.83776,78.187488,2025-01-03,219.2,70.55,83.48,1.95,69.22,46.6,0.17,91.1,4,1273,66.24,2.96,578,3.66,High,73.33
Jodhpur,Rajasthan,26.143995,73.060381,2024-04-16,145.72,112.44,146.92,5.95,51.65,23.36,1.67,24.72,0,775,79.9,2.37,119,0.67,Medium,46.2
Chennai,Tamil Nadu,13.148804,80.273595,2025-09-23,94.5,47.82,64.33,7.82,61.24,187.03,1.85,76.2,1,48,67.41,2.32,11,0.09,Medium,43.97
Madurai,Tamil Nadu,9.957143,78.115459,2025-04-28,22.78,15.41,18.75,3.49,26.41,83.65,0.14,86.28,3,972,68.05,0.82,204,0.2,Low,20.29
Jodhpur,Rajasthan,26.166374,73.059236,2025-05-09,48.3,27.42,38.36,0.48,49.41,44.64,2.53,76.08,4,163,68.4,1.18,27,0.05,Low,16.11
Delhi,Delhi,28.630157,77.185763,2025-04-04,72.03,53.87,61.52,3.96,34.54,76.92,6.22,17.01,6,260,93.51,0.45,66,0.09,Low,17.32
Jodhpur,Rajasthan,26.247337,72.976422,2023-06-06,49.74,31.25,43.74,2.18,25.36,76.03,1.55,19.23,4,8865,64.17,0.63,2404,3.95,Low,17.22
Vijayawada,Andhra Pradesh,16.520153,80.620019,2024-12-23,28.81,16.64,24.51,7.6,11.78,63.7,0.16,78.6,4,18662,57.73,0.44,3248,7.0,Low,29.32
Kanpur,Uttar Pradesh,26.390743,80.251747,2024-09-08,37.7,25.24,37.76,4.36,43.7,44.79,1.34,94.77,4,75,65.85,0.89,10,0.03,Low,28.38
Patna,Bihar,25.670138,85.047037,2024-12-27,44.13,31.55,39.45,11.57,15.67,73.24,0.86,81.75,4,12978,81.94,1.45,12172,63.38,Medium,36.55
Guwahati,Assam,26.083316,91.804442,2024-08-15,170.07,92.39,120.06,3.95,54.89,262.04,4.36,79.71,1,374,45.03,1.33,112,0.54,Medium,36.16
Ahmedabad,Gujarat,23.021731,72.625092,2023-06-17,43.49,27.82,33.52,7.38,17.28,51.39,0.06,57.74,6,40309,21.3,0.6,9737,7.47,Low,24.11
Patna,Bihar,25.571183,85.203524,2023-07-05,68.78,23.24,26.67,1.77,29.95,36.6,1.75,77.44,4,646,46.26,0.17,85,0.02,Low,31.15
Pune,Maharashtra,18.486122,73.946798,2023-04-07,87.21,54.92,73.9,4.52,28.17,18.01,2.65,54.59,2,50000,58.61,0.29,9196,7.18,Low,30.31
Solapur,Maharashtra,17.610616,75.857638,2025-08-12,99.02,43.52,60.69,0.99,34.77,34.25,1.15,24.96,2,1465,66.18,0.68,206,0.61,Low,29.81
Amritsar,Punjab,31.657391,74.850219,2024-06-16,193.51,63.88,79.37,4.58,56.57,58.65,0.34,70.76,3,272,47.29,2.72,153,0.93,High,55.0
Kanpur,Uttar Pradesh,26.452212,80.396405,2023-11-12,122.29,75.36,111.27,7.26,50.17,216.73,5.46,48.43,7,37631,85.69,2.32,18589,178.97,Medium,36.02
Visakhapatnam,Andhra Pradesh,17.6484,83.296159,2023-03-10,327.89,204.64,299.87,3.45,74.04,75.81,0.51,77.87,3,29,63.87,3.8,33,0.35,High,66.48
Kota,Rajasthan,25.297045,75.900807,2023-08-20,55.29,40.69,47.38,4.11,21.96,84.43,0.77,59.18,1,25742,69.54,0.27,3454,1.99,Low,30.54
Coimbatore,Tamil Nadu,10.980481,77.04508,2023-01-18,72.14,49.82,58.02,7.47,40.77,159.6,0.14,54.22,5,20488,31.24,1.28,3577,18.67,Medium,39.12
Indore,Madhya Pradesh,22.626955,75.951003,2023-08-07,186.34,122.77,136.05,9.73,52.88,45.23,1.82,46.25,4,19462,30.13,3.66,7991,87.39,High,63.06
Ranchi,Jharkhand,23.321677,85.281799,2024-10-04,27.22,12.14,17.85,5.92,16.67,157.76,1.33,76.91,2,10505,60.09,0.44,2780,4.45,Low,21.33
Jabalpur,Madhya Pradesh,23.114086,80.002751,2023-06-20,64.85,26.59,29.34,1.45,26.95,32.58,0.53,62.37,2,309,92.38,0.23,31,0.03,Low,31.81
Faridabad,Haryana,28.468949,77.265685,2025-05-20,46.31,14.49,18.59,8.79,31.14,74.39,0.42,93.35,3,50000,44.66,1.19,19640,69.99,Low,27.26
Faridabad,Haryana,28.400912,77.368722,2024-09-29,35.7,19.43,27.31,3.09,21.91,248.05,5.07,69.91,4,891,44.88,0.49,156,0.18,Low,3.66
Kolkata,West Bengal,22.57702,88.446691,2023-03-22,143.81,82.11,111.7,2.76,45.24,27.3,2.15,51.72,4,2906,85.98,1.97,1306,12.26,Medium,39.14
Kochi,Kerala,9.982341,76.234235,2025-03-23,49.68,37.53,53.12,7.46,20.12,154.24,1.51,65.61,3,11081,75.34,1.04,2410,7.14,Low,26.42
Howrah,West Bengal,22.623558,88.282098,2023-09-24,192.57,126.78,175.35,3.92,53.05,107.68,1.33,42.87,2,6780,66.75,1.84,3148,27.58,Medium,46.97
Thiruvananthapuram,Kerala,8.53464,76.95111,2024-07-01,64.55,20.87,29.18,2.42,42.65,32.69,0.57,43.42,0,729,58.28,0.13,75,0.03,Low,31.25
Agra,Uttar Pradesh,27.114938,77.952237,2025-03-23,80.97,34.98,45.37,6.21,48.91,65.22,3.46,76.79,2,117,53.27,1.71,24,0.14,Medium,35.34
Patna,Bihar,25.658353,85.14804,2023-06-28,52.29,40.46,48.24,4.56,32.53,53.3,2.14,63.94,0,22823,85.42,1.05,3458,6.67,Low,26.55
Aurangabad,Maharashtra,19.859053,75.30933,2024-04-30,81.11,63.02,69.95,5.11,35.37,181.54,0.1,62.95,3,181,65.08,0.71,11,0.03,Low,34.22
Vijayawada,Andhra Pradesh,16.562556,80.725133,2024-08-15,21.3,8.86,11.73,1.3,32.21,42.24,0.03,22.13,4,1150,78.14,0.36,298,0.23,Low,18.57
Nagpur,Maharashtra,21.198607,79.180466,2025-01-09,114.81,79.27,91.47,5.06,23.05,47.62,0.53,43.95,4,1566,78.27,1.83,813,7.21,Medium,44.06
Surat,Gujarat,21.105453,72.913467,2025-01-15,113.2,75.52,92.19,3.26,53.86,137.52,0.62,42.52,1,1631,81.31,1.53,504,0.86,Medium,40.84
Bhopal,Madhya Pradesh,23.167215,77.501145,2024-09-25,60.33,29.82,44.27,12.53,30.29,89.81,1.35,89.07,2,945,75.49,1.12,486,1.04,Medium,46.71
Delhi,Delhi,28.651021,77.063909,2023-12-23,172.46,64.89,95.11,5.11,57.88,80.15,0.03,97.42,4,564,81.06,2.28,149,0.73,Medium,54.33
Kalyan,Maharashtra,19.18388,73.19874,2024-06-16,141.77,65.4,72.98,2.21,34.72,32.27,0.64,75.81,6,1914,84.8,2.45,827,9.11,Medium,39.24
Guwahati,Assam,26.168191,91.731728,2024-10-31,124.42,61.74,81.91,15.08,38.51,116.41,0.4,78.23,4,822,55.91,1.06,273,1.28,Medium,54.5
Faridabad,Haryana,28.395783,77.32229,2025-06-07,132.61,57.69,74.6,1.26,46.63,172.85,0.02,93.72,6,484,73.96,2.44,266,2.89,Medium,43.58
Delhi,Delhi,28.743392,77.098913,2023-06-02,74.24,54.07,65.5,4.8,35.03,16.35,6.04,63.81,2,242,43.08,1.01,32,0.14,Low,23.04
Ahmedabad,Gujarat,23.085805,72.553919,2025-07-29,43.91,20.91,29.13,4.38,24.94,26.29,0.29,74.65,0,6781,70.85,0.44,343,0.22,Low,24.46
Dhanbad,Jharkhand,23.738592,86.457116,2025-05-11,47.19,28.93,39.0,10.57,7.44,40.29,7.15,32.93,4,279,95.13,0.11,21,0.01,Low,27.87
Dhanbad,Jharkhand,23.862449,86.504458,2023-01-10,157.69,54.2,70.74,10.66,50.73,160.44,2.2,73.56,5,33348,58.58,3.08,30368,411.12,High,57.44
Ranchi,Jharkhand,23.440147,85.394303,2025-09-22,23.0,12.1,17.79,2.56,18.58,71.1,3.44,42.98,0,1404,69.89,0.94,175,0.49,Low,13.54
Guwahati,Assam,26.063464,91.661472,2024-10-08,34.34,17.16,19.73,5.83,35.08,83.81,0.22,89.18,5,3688,91.01,0.26,591,0.44,Low,25.86
Kolkata,West Bengal,22.517167,88.276679,2024-02-05,43.54,21.52,25.18,1.24,35.45,46.68,0.42,86.79,3,14,63.68,1.15,1,0.0,Low,21.24
Bangalore,Karnataka,13.064643,77.561323,2023-09-24,52.86,17.66,24.33,1.26,21.67,138.29,2.73,34.78,2,4859,84.56,1.07,2167,2.57,Low,21.0
Surat,Gujarat,21.141733,72.753562,2023-07-22,14.74,5.71,8.5,2.96,27.58,95.6,0.2,64.35,5,6236,78.57,0.59,2799,8.14,Low,12.4
Guwahati,Assam,26.076604,91.733041,2023-08-02,73.38,54.68,61.22,7.34,27.6,106.83,1.05,58.08,2,2591,91.57,0.12,230,0.13,Low,34.56
Thiruvananthapuram,Kerala,8.611661,76.999691,2023-05-30,81.52,62.95,84.08,1.32,35.83,68.2,6.83,70.48,3,463,59.42,0.18,65,0.06,Low,17.23
Pune,Maharashtra,18.487054,73.885096,2025-05-14,62.65,18.9,28.05,3.13,15.42,104.9,1.96,69.61,1,117,74.63,0.71,20,0.07,Low,25.96
Vadodara,Gujarat,22.316074,73.09614,2025-01-13,58.77,29.25,42.52,6.48,21.84,76.72,1.53,24.27,0,1518,44.05,0.24,154,0.14,Low,29.25
Jaipur,Rajasthan,26.948519,75.822925,2025-05-08,105.07,64.68,91.44,2.3,39.62,45.18,1.57,65.85,0,50000,59.92,1.86,11492,84.37,Medium,37.46
Hyderabad,Telangana,17.375354,78.489443,2023-03-09,74.82,31.13,38.11,3.46,15.37,65.81,1.83,44.1,4,123,80.04,1.07,43,0.21,Low,27.01
Aurangabad,Maharashtra,19.820611,75.442435,2024-11-03,91.22,35.1,49.33,4.0,50.25,56.54,1.18,95.26,3,31530,70.72,0.77,8638,7.16,Low,27.1
Vasai,Maharashtra,19.532441,72.893368,2024-05-19,47.96,38.24,53.85,3.96,14.93,84.7,0.67,84.55,2,6234,64.7,0.78,1432,5.11,Low,15.52
Gwalior,Madhya Pradesh,26.177681,78.137628,2023-08-05,144.17,78.67,106.61,6.07,63.6,39.45,0.24,71.37,3,648,82.64,2.41,241,2.69,Medium,51.72
Kochi,Kerala,9.839052,76.3043,2024-05-19,91.91,72.32,82.19,4.16,36.15,42.84,4.66,51.86,4,50000,95.86,1.16,5957,33.19,Low,27.01
Bangalore,Karnataka,12.877532,77.541763,2025-09-11,36.81,16.63,23.33,2.15,30.33,132.19,3.31,60.29,3,50000,75.76,0.9,19624,39.34,Low,9.05
Mumbai,Maharashtra,19.174528,72.905151,2023-09-13,74.93,34.06,40.82,12.22,33.12,100.91,2.06,19.05,1,120,56.06,1.53,52,0.13,Medium,38.82
Mumbai,Maharashtra,19.090092,72.96422,2023-12-08,95.27,30.83,38.25,4.87,31.5,47.27,1.2,75.54,6,5664,26.61,0.66,657,2.09,Low,33.72
Dhanbad,Jharkhand,23.857665,86.342467,2025-04-17,116.76,55.33,61.57,3.16,49.64,92.44,1.14,31.94,0,458,73.21,2.21,358,1.4,Medium,40.77
Faridabad,Haryana,28.498603,77.389134,2023-01-23,83.14,51.58,58.6,4.44,47.65,46.09,4.29,48.04,5,826,34.81,0.63,146,0.13,Low,33.62
Lucknow,Uttar Pradesh,26.851467,80.878605,2023-12-14,66.96,48.44,53.52,9.18,37.67,236.05,0.81,63.24,1,154,64.79,0.11,36,0.02,Low,27.28
Bhopal,Madhya Pradesh,23.270474,77.49917,2024-11-06,73.22,46.34,66.43,2.29,27.13,50.54,0.09,36.24,1,72,74.86,0.78,3,0.0,Low,31.57
Kochi,Kerala,9.902465,76.210771,2024-07-31,24.56,15.9,17.98,7.17,41.28,63.99,0.57,51.2,2,579,87.07,2.22,417,1.1,Medium,37.5
Bangalore,Karnataka,13.037328,77.62619,2024-02-08,111.64,82.7,115.14,6.14,45.65,96.58,5.58,25.89,3,898,20.37,2.31,552,3.24,Medium,42.52
Chandigarh,Chandigarh,30.663454,76.747567,2023-09-09,75.88,24.23,27.78,7.36,27.53,112.38,0.82,91.97,2,378,66.82,2.15,111,0.49,Medium,40.05
Vasai,Maharashtra,19.445434,72.794173,2024-09-08,82.34,49.4,65.55,3.98,41.41,61.83,2.4,87.8,2,583,79.41,0.27,76,0.07,Low,22.76
Gwalior,Madhya Pradesh,26.287842,78.125643,2024-07-16,46.33,34.44,40.17,7.84,20.09,201.08,1.78,70.77,7,2967,91.48,0.65,498,1.6,Low,15.2
Chennai,Tamil Nadu,12.983206,80.206807,2024-12-13,38.75,19.73,22.99,9.96,33.73,86.47,1.23,41.79,2,61,90.97,0.96,10,0.03,Low,24.2
Guwahati,Assam,26.186526,91.683879,2023-01-05,31.07,18.17,22.67,1.4,28.12,33.41,0.0,49.69,2,556,32.84,1.03,42,0.13,Low,17.28
Indore,Madhya Pradesh,22.790648,75.781582,2024-02-13,147.16,78.17,115.82,2.44,37.81,44.45,0.54,35.99,2,5168,39.31,1.29,4447,8.73,Medium,37.15
Guwahati,Assam,26.112012,91.653854,2024-09-13,82.69,45.37,57.35,2.28,44.38,474.56,0.4,79.48,6,48,61.85,0.13,17,0.01,Low,20.43
Coimbatore,Tamil Nadu,10.938043,77.054608,2023-12-11,20.49,16.37,22.56,6.0,22.3,181.66,0.03,94.55,1,50000,79.41,0.41,4803,4.03,Low,24.5
Kanpur,Uttar Pradesh,26.364961,80.245911,2024-11-18,67.5,31.52,36.18,2.96,42.57,110.35,8.21,23.02,1,211,67.86,0.98,24,0.04,Low,15.6
Kanpur,Uttar Pradesh,26.449147,80.271666,2023-08-28,268.63,159.82,223.53,12.64,74.84,62.89,0.95,85.34,2,23,73.3,5.44,8,0.06,Critical,84.32
Meerut,Uttar Pradesh,28.970982,77.791596,2025-04-20,192.49,103.64,115.3,3.11,47.74,74.7,1.78,73.22,1,8653,61.52,1.02,1762,3.8,Medium,46.87
Kanpur,Uttar Pradesh,26.451989,80.408129,2024-03-30,57.81,17.94,20.64,1.29,47.81,110.6,0.18,61.05,4,103,86.34,0.68,8,0.02,Low,31.0
Vijayawada,Andhra Pradesh,16.458252,80.565442,2024-09-02,73.93,58.92,74.54,3.77,56.5,87.85,2.03,78.57,3,2536,78.0,1.14,505,2.39,Low,22.99
Howrah,West Bengal,22.600644,88.285716,2023-03-16,49.83,33.13,46.51,9.41,16.64,34.79,1.6,87.37,7,1534,61.5,0.61,591,1.36,Low,27.2
Bangalore,Karnataka,12.886018,77.541541,2025-06-16,82.46,29.0,38.55,6.32,28.25,54.98,1.23,43.07,5,1171,79.96,0.97,87,0.4,Low,30.98
Guwahati,Assam,26.066248,91.700524,2023-07-25,89.26,69.34,84.43,2.93,53.96,36.05,4.52,40.25,3,3362,77.12,0.15,395,0.15,Low,22.95
Solapur,Maharashtra,17.670682,75.875356,2024-03-16,65.24,25.3,36.48,7.56,38.06,70.3,1.3,51.5,1,2737,83.16,1.14,1806,10.25,Medium,38.06
Jabalpur,Madhya Pradesh,23.253973,79.893741,2024-10-28,96.47,74.76,83.85,1.92,53.18,91.73,0.31,45.41,1,232,39.29,0.36,20,0.02,Low,34.6
Patna,Bihar,25.664945,85.217569,2023-12-04,46.28,27.6,30.8,3.46,41.02,14.23,1.18,85.54,5,63,54.99,0.71,16,0.03,Low,21.61
Nashik,Maharashtra,19.978192,73.828705,2024-05-23,14.14,10.28,11.48,3.92,5.55,79.33,1.66,37.23,3,45,79.37,0.78,2,0.0,Low,11.36
Agra,Uttar Pradesh,27.079617,78.042166,2024-06-21,109.95,50.9,65.22,1.66,49.12,147.64,2.55,64.95,3,9617,87.33,2.37,6761,67.34,Medium,37.83
Indore,Madhya Pradesh,22.79454,75.869474,2024-09-08,67.74,45.99,58.05,5.61,26.98,29.13,0.58,40.3,1,6344,37.37,0.91,1636,5.02,Low,32.25
Meerut,Uttar Pradesh,28.924099,77.720396,2023-06-10,102.81,51.28,67.51,1.87,23.62,117.51,3.18,50.36,1,7119,68.7,0.34,711,0.36,Low,28.4
Bangalore,Karnataka,12.912169,77.692903,2023-04-05,90.99,67.3,88.99,1.12,29.23,38.75,0.99,31.81,2,4004,85.22,0.15,514,0.12,Low,27.77
Rajkot,Gujarat,22.35691,70.732489,2024-12-10,18.6,6.27,9.0,2.95,13.58,209.98,2.68,50.01,3,1060,80.59,0.28,117,0.16,Low,7.85
Surat,Gujarat,21.259905,72.802161,2024-09-24,169.04,129.5,151.22,5.32,40.21,112.06,4.35,31.54,3,2423,78.62,1.07,806,3.74,Medium,45.15
Rajkot,Gujarat,22.288637,70.772672,2025-01-20,29.01,16.14,17.8,3.12,34.56,47.07,7.3,93.47,1,12289,88.31,0.11,1482,0.37,Low,8.8
Solapur,Maharashtra,17.583167,75.916577,2024-02-22,35.05,16.23,20.86,2.49,33.93,135.98,0.63,57.2,3,2172,72.23,0.4,727,1.34,Low,13.5
Dhanbad,Jharkhand,23.882917,86.480262,2025-07-15,204.7,72.72,96.02,5.69,63.01,93.67,5.41,58.85,6,2211,63.57,2.74,1177,13.48,High,63.55
Varanasi,Uttar Pradesh,25.417352,83.053756,2023-03-17,89.95,47.81,55.37,5.47,41.01,70.84,0.22,30.59,4,4350,44.64,1.43,2211,13.73,Medium,40.1
Rajkot,Gujarat,22.336432,70.716969,2023-05-19,53.01,41.71,62.08,1.18,23.49,19.38,1.68,40.35,3,29,69.48,1.03,1,0.0,Low,31.81
Vasai,Maharashtra,19.52879,72.768469,2023-11-27,56.06,41.95,46.59,10.48,35.26,29.83,1.23,62.08,2,4598,68.46,2.17,1534,13.91,Medium,42.54
Aurangabad,Maharashtra,19.869641,75.363113,2025-05-17,118.82,80.05,107.46,6.94,30.48,64.85,0.46,51.1,2,2,79.71,2.36,0,0.0,Medium,43.03
Pune,Maharashtra,18.478609,73.910073,2024-06-10,74.07,46.12,54.36,2.67,30.92,165.15,0.98,47.23,2,3594,45.34,0.68,572,1.18,Low,20.29
Patna,Bihar,25.62564,85.100806,2025-05-04,91.96,35.29,42.38,1.81,33.68,85.21,0.48,74.38,3,1507,87.23,0.13,157,0.08,Low,23.89
Kochi,Kerala,9.964779,76.316429,2023-01-05,58.54,32.21,47.73,2.9,25.85,38.6,4.58,55.12,6,6394,89.37,0.55,550,1.1,Low,20.78
Meerut,Uttar Pradesh,29.026343,77.6556,2024-10-31,66.79,44.51,62.94,4.02,34.77,142.78,3.37,55.26,10,196,62.78,1.03,35,0.04,Low,26.17
Kota,Rajasthan,25.254976,75.782633,2025-01-24,53.24,33.42,40.31,1.64,32.35,41.67,0.26,69.59,1,590,87.73,1.11,48,0.2,Low,25.77
Visakhapatnam,Andhra Pradesh,17.632532,83.194208,2025-02-02,79.05,33.15,45.47,5.28,33.38,44.05,6.22,24.47,0,23670,72.68,0.9,5776,6.58,Low,27.08
Nashik,Maharashtra,20.080875,73.819341,2023-10-16,122.58,79.68,96.92,5.3,35.57,179.25,2.63,58.29,2,127,52.88,0.73,34,0.11,Low,33.79
Kanpur,Uttar Pradesh,26.432312,80.273297,2024-02-18,101.63,41.55,53.58,10.81,39.25,124.34,4.72,44.75,8,4010,20.26,1.95,1785,11.95,Medium,44.71
Surat,Gujarat,21.092933,72.895482,2025-09-05,136.0,72.66,94.39,4.27,55.77,64.1,0.3,29.62,4,325,80.74,1.31,83,0.27,Medium,45.74
Agra,Uttar Pradesh,27.25641,77.964079,2023-12-24,158.85,124.01,172.73,5.0,34.29,189.3,1.4,88.2,2,1098,56.18,1.84,549,4.31,Medium,45.31
Amritsar,Punjab,31.668055,74.920132,2024-10-02,108.33,57.44,71.34,5.5,55.31,57.12,0.58,77.82,6,751,61.81,1.53,442,3.1,Medium,51.16
Jodhpur,Rajasthan,26.224801,72.971806,2024-01-14,29.02,16.28,23.8,6.96,26.99,10.02,0.12,39.53,3,1234,48.94,0.62,261,0.4,Low,25.84
Vasai,Maharashtra,19.41841,72.765309,2024-05-09,34.33,27.41,33.25,3.08,36.04,69.23,1.64,60.41,2,36890,87.18,0.84,6484,21.57,Low,12.94
Kota,Rajasthan,25.286954,75.910687,2025-06-14,169.81,59.11,66.12,2.26,45.53,96.06,1.97,85.08,3,176,77.94,1.37,91,0.59,Medium,48.81
Vadodara,Gujarat,22.234343,73.161087,2024-05-16,75.11,58.84,81.16,9.98,50.27,58.73,1.69,60.79,4,68,72.95,1.57,53,0.4,Medium,43.07
Vasai,Maharashtra,19.519448,72.763269,2024-03-28,67.69,51.02,76.43,7.5,35.75,65.1,0.0,98.36,4,38,93.47,2.48,6,0.03,Medium,43.44
Nashik,Maharashtra,19.969347,73.751614,2023-05-12,62.98,39.13,51.06,1.12,31.5,92.57,0.23,74.4,2,25092,42.57,0.6,5197,14.45,Low,24.54
Chandigarh,Chandigarh,30.652409,76.794673,2025-09-17,98.78,70.64,84.86,6.5,29.4,38.6,2.52,53.14,6,1632,66.71,0.55,200,0.48,Low,30.64
Kolkata,West Bengal,22.600462,88.318446,2024-03-16,115.37,72.63,108.59,5.97,41.23,123.51,0.73,62.2,7,3226,58.53,1.59,3157,11.65,Medium,40.31
Mumbai,Maharashtra,19.036503,72.963965,2024-06-26,113.3,37.61,45.72,4.49,33.7,196.99,1.27,62.55,4,14048,77.77,1.2,8799,41.86,Medium,40.89
Surat,Gujarat,21.213862,72.776659,2023-01-27,64.06,23.24,28.15,5.84,39.76,72.37,6.7,47.02,1,244,78.04,0.36,14,0.02,Low,24.88
Surat,Gujarat,21.220252,72.912553,2023-11-13,144.49,51.48,57.05,11.42,43.68,107.38,0.39,66.46,3,26040,91.63,2.69,8625,30.24,High,61.13
Kochi,Kerala,9.901608,76.237891,2025-04-08,206.41,69.06,93.59,7.06,71.36,8.23,0.55,10.66,6,3000,57.77,4.32,5050,52.37,Critical,83.4
Ranchi,Jharkhand,23.39906,85.368886,2024-11-03,31.33,16.5,21.31,1.05,12.95,128.57,0.15,21.15,5,15278,66.57,0.67,3785,6.67,Low,15.66
Delhi,Delhi,28.719029,77.102075,2025-08-11,20.3,8.92,12.66,6.02,23.62,27.07,2.06,57.48,4,40451,46.1,0.17,15833,8.73,Low,20.11
Agra,Uttar Pradesh,27.169127,78.023908,2023-07-22,145.4,84.78,127.03,3.34,39.66,32.89,0.3,38.99,4,5996,57.66,1.52,1069,6.25,Medium,37.17
Allahabad,Uttar Pradesh,25.404008,81.777163,2025-09-22,70.59,24.92,28.8,1.98,24.48,192.96,0.79,78.27,4,9664,18.39,0.29,3894,2.73,Low,24.27
Jaipur,Rajasthan,26.856861,75.724426,2023-06-07,60.18,29.83,44.49,2.91,43.6,20.12,0.06,80.8,3,349,91.69,2.16,202,1.75,Medium,39.65
Kalyan,Maharashtra,19.331445,73.154465,2024-10-13,154.2,106.25,122.97,8.42,39.43,75.03,6.89,62.94,2,50000,88.31,2.07,25603,86.22,Medium,48.27
Chennai,Tamil Nadu,13.099212,80.175413,2023-02-07,151.14,66.13,85.63,3.3,67.63,94.37,1.13,78.51,2,1020,80.26,2.34,707,5.18,Medium,50.07
Ahmedabad,Gujarat,22.960535,72.574193,2025-02-12,159.8,74.66,94.48,8.72,58.18,53.19,0.49,82.88,3,2544,52.25,3.92,1321,11.21,High,64.35
Rajkot,Gujarat,22.223223,70.855879,2024-09-06,97.35,69.59,87.74,4.81,46.04,42.74,1.48,91.84,2,111,77.84,0.79,15,0.03,Low,34.22
Dhanbad,Jharkhand,23.709472,86.369021,2023-08-11,83.71,45.18,58.95,2.95,33.56,146.27,0.67,41.33,7,11437,53.65,0.93,3398,4.19,Low,25.92
Delhi,Delhi,28.638781,77.138381,2024-05-02,8.82,5.25,6.57,4.22,40.05,132.22,0.54,93.05,2,1212,81.92,1.11,120,0.28,Low,22.74
Patna,Bihar,25.530108,85.123457,2023-04-29,137.05,72.12,93.58,3.48,44.65,4.12,1.17,82.95,2,4322,70.96,1.87,3359,7.03,Medium,38.73
Chennai,Tamil Nadu,13.155697,80.252024,2025-01-01,63.23,27.42,38.72,5.55,31.25,12.82,0.39,44.71,4,2418,84.87,2.42,1133,12.66,Medium,38.43
Kochi,Kerala,9.961107,76.331379,2024-05-23,61.63,33.19,39.96,8.11,31.76,61.16,0.87,91.42,4,39199,69.87,2.23,28323,210.56,Medium,37.76
Howrah,West Bengal,22.62298,88.324811,2025-05-26,126.93,50.67,73.7,9.03,40.28,55.44,0.96,51.64,3,1825,36.28,2.32,406,4.39,High,58.34
Hubli,Karnataka,15.351766,75.035432,2023-03-10,74.98,42.53,47.68,4.37,37.96,42.07,1.22,48.2,2,3774,83.32,1.16,2065,6.96,Medium,35.12
Meerut,Uttar Pradesh,29.03458,77.68664,2024-01-03,27.62,8.38,11.43,11.1,0.63,47.71,1.55,48.41,3,1467,61.17,0.26,216,0.17,Low,32.71
Howrah,West Bengal,22.689597,88.350212,2024-06-07,62.91,45.49,67.05,6.42,17.46,66.29,0.12,82.4,4,9747,50.75,0.77,1740,3.52,Low,30.69
Howrah,West Bengal,22.511059,88.288746,2025-02-02,98.78,65.74,77.98,7.15,49.4,143.37,4.28,41.68,0,597,75.29,2.07,274,1.65,Medium,35.86
Delhi,Delhi,28.72345,77.109214,2024-08-11,38.26,26.5,30.81,4.43,32.97,95.7,0.33,60.14,3,2131,52.57,0.84,588,0.95,Low,20.45
Ranchi,Jharkhand,23.245916,85.347895,2023-08-29,165.79,115.25,147.83,4.53,57.24,52.51,1.53,85.53,3,9125,96.47,2.51,10543,85.04,High,55.31
Thiruvananthapuram,Kerala,8.60135,76.868432,2023-10-29,38.55,13.05,18.3,2.24,31.44,116.81,0.19,56.86,2,1978,91.36,1.02,427,1.95,Low,9.79
Dhanbad,Jharkhand,23.762434,86.433139,2023-06-06,63.78,37.48,45.75,6.36,32.79,147.02,0.99,16.83,3,623,84.19,1.05,86,0.4,Low,25.18
Nashik,Maharashtra,20.059412,73.755819,2023-02-22,68.12,46.51,58.07,4.88,29.39,77.85,0.47,61.42,1,19,47.51,1.78,12,0.04,Medium,35.49
Amritsar,Punjab,31.567778,74.816774,2023-01-03,31.53,24.95,32.19,5.67,26.57,111.13,0.85,71.84,2,1127,78.38,0.49,49,0.06,Low,16.86
Bangalore,Karnataka,12.897496,77.629793,2023-10-13,61.08,40.95,57.5,4.49,31.58,181.93,2.06,89.89,4,245,61.54,1.02,20,0.1,Low,23.18
Meerut,Uttar Pradesh,28.908373,77.680261,2023-10-19,216.67,163.64,238.01,9.43,58.98,123.69,4.72,86.0,4,50000,86.86,3.21,52029,506.85,High,61.02
